invoice_no,customer_name_masking,receive_date,sent_date,Driver,cutoff_type,cutoff_rule,cutoff_value,receive_day_code,receive_schedule,days_to_cutoff,expert_label,expert_reason,_source_excel_row,admin_ground_truth,receive_weekday_code,receive_weekday_name,receive_day_of_month,receive_week_of_month,receive_month_end_flag,limited_receive_schedule_flag,next_receive_day_gap_decision_time,receive_date_schedule_status,cutoff_date_decision_time,cutoff_derivation_note,days_to_cutoff_source,days_to_cutoff_decision_time,cutoff_value_feature,days_to_cutoff_feature,next_receive_day_gap_feature,observation_id
S202605-0406,CUST108,2026-05-21,2026-05-21,ROHMAN,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,50,Not Urgent,4,Thursday,21,3,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-0406
S202605-0412,CUST281,2026-05-21,2026-05-21,ROHMAN,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,51,Not Urgent,4,Thursday,21,3,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-0412
S202605-0557,CUST013,2026-05-21,2026-05-21,ROHMAN,End of month,END_MONTH,0.0,"2,4,5","Tuesday,Thursday & Friday",6,HIGH,LIMITED_RECEIVE_DAY,52,Urgent,4,Thursday,21,3,No,Yes,0.0,VALID_RECEIVE_DAY,2026-05-29,END_MONTH; last workday of receive month,6,6.0,0.0,6.0,0.0,S202605-0557
S202605-0419,CUST101,2026-05-21,2026-05-22,ROHMAN,Max on 3th in the next month,NEXT_MONTH_DATE,3.0,"1,3,5","Monday, Wednesday, Friday",9,HIGH,LIMITED_RECEIVE_DAY,53,Urgent,4,Thursday,21,3,No,Yes,1.0,NEXT_RECEIVE_DAY_AVAILABLE_LATER,2026-06-03,NEXT_MONTH_DATE; date in next month,9,9.0,3.0,9.0,1.0,S202605-0419
S202605-0586,CUST069,2026-05-21,2026-05-21,ROHMAN,No cut off,NO_CUTOFF,0.0,"1,2,4","Monday, Tuesday & Thursday",999,HIGH,LIMITED_RECEIVE_DAY,54,Urgent,4,Thursday,21,3,No,Yes,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-0586
S202605-0587,CUST345,2026-05-21,2026-05-21,ROHMAN,3 days in next month ,NEXT_MONTH_DATE,3.0,"2,4",Tuesday & Thursday,9,HIGH,LIMITED_RECEIVE_DAY,55,Urgent,4,Thursday,21,3,No,Yes,0.0,VALID_RECEIVE_DAY,2026-06-03,NEXT_MONTH_DATE; date in next month,9,9.0,3.0,9.0,0.0,S202605-0587
S202605-0590,CUST287,2026-05-21,2026-05-21,ROHMAN,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,56,Not Urgent,4,Thursday,21,3,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-0590
S202605-0591,CUST084,2026-05-21,2026-05-21,ROHMAN,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,57,Not Urgent,4,Thursday,21,3,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-0591
S202605-0723,CUST498,2026-05-21,2026-05-22,SAPX,End of month,END_MONTH,0.0,"1,2,3,4,5",Everyday,6,NORMAL,LONG_TIME_TO_CUTOFF,58,Not Urgent,4,Thursday,21,3,No,No,0.0,VALID_RECEIVE_DAY,2026-05-29,END_MONTH; last workday of receive month,6,6.0,0.0,6.0,0.0,S202605-0723
S202605-0609,CUST018,2026-05-21,2026-05-22,ARI,Max on 28th in every month,MONTHLY_DATE,28.0,"1,2,3,4,5",Everyday,5,NORMAL,LONG_TIME_TO_CUTOFF,59,Not Urgent,4,Thursday,21,3,No,No,0.0,VALID_RECEIVE_DAY,2026-05-28,MONTHLY_DATE; cutoff date selected from receive_date month or next month,5,5.0,28.0,5.0,0.0,S202605-0609
S202605-0757,CUST381,2026-05-21,2026-05-21,AMIT,"Every 11th ,12th, 21th,22th,28th,29th in every month",MONTHLY_DATE,,MISSING,Based on Schedule Payment,0,HIGH,CUTOFF_TODAY,60,Urgent,4,Thursday,21,3,No,Yes,,UNKNOWN_RECEIVE_DAY,2026-05-21,MONTHLY_DATE; parsed next listed date from cutoff_type,0,0.0,-1.0,0.0,-1.0,S202605-0757
93101903,CUST058,2026-05-21,2026-05-21,ARI,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,61,Not Urgent,4,Thursday,21,3,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,93101903
S202605-0634,CUST307,2026-05-22,2026-05-22,SAPX,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,62,Not Urgent,5,Friday,22,4,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-0634
S202605-0769,CUST179,2026-05-22,2026-05-22,ARI,Max on 28th in every month,MONTHLY_DATE,28.0,"1,2,3,4,5",Everyday,4,NORMAL,LONG_TIME_TO_CUTOFF,63,Not Urgent,5,Friday,22,4,No,No,0.0,VALID_RECEIVE_DAY,2026-05-28,MONTHLY_DATE; cutoff date selected from receive_date month or next month,4,4.0,28.0,4.0,0.0,S202605-0769
S202605-0635,CUST382,2026-05-22,2026-05-22,ARI,Max on 25th in every month,MONTHLY_DATE,25.0,"1,2,3,4,5",Everyday,1,HIGH,CUTOFF_NEAR,65,Urgent,5,Friday,22,4,No,No,0.0,VALID_RECEIVE_DAY,2026-05-25,MONTHLY_DATE; cutoff date selected from receive_date month or next month,1,1.0,25.0,1.0,0.0,S202605-0635
S202605-0722,CUST367,2026-05-22,2026-05-22,ROHMAN,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,66,Not Urgent,5,Friday,22,4,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-0722
S202605-0715,CUST196,2026-05-22,2026-05-26,ROHMAN,4 working days in next month,MONTHLY_DATE,4.0,"2,4","Tuesday, Thursday",9,HIGH,LIMITED_RECEIVE_DAY,67,Urgent,5,Friday,22,4,No,Yes,4.0,NEXT_RECEIVE_DAY_AVAILABLE_LATER,2026-06-04,MONTHLY_DATE; cutoff date selected from receive_date month or next month,9,9.0,4.0,9.0,4.0,S202605-0715
S202605-0633,CUST281,2026-05-22,2026-05-22,ROHMAN,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,68,Not Urgent,5,Friday,22,4,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-0633
S202605-0720,CUST291,2026-05-22,2026-05-22,ROHMAN,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,69,Not Urgent,5,Friday,22,4,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-0720
S202605-0712,CUST079,2026-05-22,2026-05-22,ROHMAN,End of month,END_MONTH,0.0,"1,2,3,4,5",Everyday,5,NORMAL,LONG_TIME_TO_CUTOFF,70,Not Urgent,5,Friday,22,4,No,No,0.0,VALID_RECEIVE_DAY,2026-05-29,END_MONTH; last workday of receive month,5,5.0,0.0,5.0,0.0,S202605-0712
S202605-0325,CUST493,2026-05-22,2026-05-22,SAPX,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,71,Not Urgent,5,Friday,22,4,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-0325
S202605-0632,CUST069,2026-05-22,2026-05-25,ROHMAN,No cut off,NO_CUTOFF,0.0,"1,2,4","Monday, Tuesday & Thursday",999,HIGH,LIMITED_RECEIVE_DAY,73,Urgent,5,Friday,22,4,No,Yes,3.0,NEXT_RECEIVE_DAY_AVAILABLE_LATER,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,3.0,S202605-0632
S202605-0721,CUST366,2026-05-22,2026-05-25,ROHMAN,End of month,END_MONTH,0.0,"1,2,3",Monday - Wednesday,5,HIGH,LIMITED_RECEIVE_DAY,74,Urgent,5,Friday,22,4,No,Yes,3.0,NEXT_RECEIVE_DAY_AVAILABLE_LATER,2026-05-29,END_MONTH; last workday of receive month,5,5.0,0.0,5.0,3.0,S202605-0721
S202605-0710,CUST074,2026-05-22,2026-05-22,ROHMAN,3 days in next month ,NEXT_MONTH_DATE,3.0,"2,4",Tuesday & Thursday,8,HIGH,LIMITED_RECEIVE_DAY,75,Urgent,5,Friday,22,4,No,Yes,4.0,NEXT_RECEIVE_DAY_AVAILABLE_LATER,2026-06-03,NEXT_MONTH_DATE; date in next month,8,8.0,3.0,8.0,4.0,S202605-0710
S202605-0717,CUST238,2026-05-22,2026-05-22,ARI,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,76,Not Urgent,5,Friday,22,4,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-0717
S202605-0628,CUST375,2026-05-25,2026-05-25,ARI,Max on 7th in the nextmonth,NEXT_MONTH_DATE,7.0,"1,2,3,4,5",Everyday,11,NORMAL,LONG_TIME_TO_CUTOFF,77,Not Urgent,1,Monday,25,4,Yes,No,0.0,VALID_RECEIVE_DAY,2026-06-07,NEXT_MONTH_DATE; date in next month,11,9.0,7.0,9.0,0.0,S202605-0628
S202605-0629,CUST402,2026-05-25,2026-05-25,ARI,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,78,Not Urgent,1,Monday,25,4,Yes,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-0629
S202605-0630,CUST400,2026-05-25,2026-05-25,SAPX,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,79,Not Urgent,1,Monday,25,4,Yes,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-0630
S202605-0767,CUST308,2026-05-25,2026-05-25,AMIT,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,80,Not Urgent,1,Monday,25,4,Yes,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-0767
S202605-0719,CUST284,2026-05-25,2026-05-26,ROHMAN,Max on 3rd in the nextmonth,NEXT_MONTH_DATE,3.0,"2,4",Tuesday & Thursday,7,HIGH,LIMITED_RECEIVE_DAY,81,Urgent,1,Monday,25,4,Yes,Yes,1.0,NEXT_RECEIVE_DAY_AVAILABLE_LATER,2026-06-03,NEXT_MONTH_DATE; date in next month,7,7.0,3.0,7.0,1.0,S202605-0719
S202605-0413,CUST382,2026-05-25,2026-05-25,ARI,Max on 25th in every month,MONTHLY_DATE,25.0,"1,2,3,4,5",Everyday,0,HIGH,CUTOFF_TODAY,82,Urgent,1,Monday,25,4,Yes,No,0.0,VALID_RECEIVE_DAY,2026-05-25,MONTHLY_DATE; cutoff date selected from receive_date month or next month,0,0.0,25.0,0.0,0.0,S202605-0413
S202605-0766,CUST031,2026-05-25,2026-05-26,AMIT,"Submit dropbox maks date of 15 in the next month (M+1, H+15)",NEXT_MONTH_DATE,15.0,"1,2,3,4,5",Everyday,19,NORMAL,LONG_TIME_TO_CUTOFF,83,Not Urgent,1,Monday,25,4,Yes,No,0.0,VALID_RECEIVE_DAY,2026-06-15,NEXT_MONTH_DATE; date in next month,19,15.0,15.0,15.0,0.0,S202605-0766
93103070,CUST073,2026-05-25,2026-05-25,SAPX,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,84,Not Urgent,1,Monday,25,4,Yes,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,93103070
S202605-0830,CUST502,2026-05-25,2026-05-25,SAPX,Date 1 in the next month,NEXT_MONTH_DATE,1.0,"1,2,3,4,5",Everyday,5,NORMAL,LONG_TIME_TO_CUTOFF,85,Not Urgent,1,Monday,25,4,Yes,No,0.0,VALID_RECEIVE_DAY,2026-06-01,NEXT_MONTH_DATE; date in next month,5,5.0,1.0,5.0,0.0,S202605-0830
S202605-0772,CUST179,2026-05-25,2026-05-25,ARI,Max on 28th in every month,MONTHLY_DATE,28.0,"1,2,3,4,5",Everyday,3,HIGH,CUTOFF_NEAR,86,Urgent,1,Monday,25,4,Yes,No,0.0,VALID_RECEIVE_DAY,2026-05-28,MONTHLY_DATE; cutoff date selected from receive_date month or next month,3,3.0,28.0,3.0,0.0,S202605-0772
S202605-0724,CUST186,2026-05-25,2026-05-25,by system,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,87,Not Urgent,1,Monday,25,4,Yes,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-0724
S202605-0550,CUST342,2026-05-26,2026-05-26,ROHMAN,H+7 in the next month,NEXT_MONTH_DATE,7.0,"1,2,3,4,5",Everyday,10,NORMAL,LONG_TIME_TO_CUTOFF,88,Not Urgent,2,Tuesday,26,4,Yes,No,0.0,VALID_RECEIVE_DAY,2026-06-07,NEXT_MONTH_DATE; date in next month,10,8.0,7.0,8.0,0.0,S202605-0550
S202605-0750,CUST109,2026-05-26,2026-05-27,AMIT,No cut off,NO_CUTOFF,0.0,3,Wednesday,999,HIGH,LIMITED_RECEIVE_DAY,89,Urgent,2,Tuesday,26,4,Yes,Yes,1.0,NEXT_RECEIVE_DAY_AVAILABLE_LATER,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,1.0,S202605-0750
93106212,CUST128,2026-05-26,2026-05-26,ROHMAN,3 days in next month ,NEXT_MONTH_DATE,3.0,"1,2,3,4,5",Everyday,6,NORMAL,LONG_TIME_TO_CUTOFF,90,Not Urgent,2,Tuesday,26,4,Yes,No,0.0,VALID_RECEIVE_DAY,2026-06-03,NEXT_MONTH_DATE; date in next month,6,6.0,3.0,6.0,0.0,93106212
S202605-0360,CUST008,2026-05-26,2026-05-28,AMIT,Date 5 in the next month,NEXT_MONTH_DATE,5.0,"1,2,3,4,5",Everyday,8,NORMAL,LONG_TIME_TO_CUTOFF,91,Not Urgent,2,Tuesday,26,4,Yes,No,0.0,VALID_RECEIVE_DAY,2026-06-05,NEXT_MONTH_DATE; date in next month,8,8.0,5.0,8.0,0.0,S202605-0360
S202605-0773,CUST155,2026-05-26,2026-05-26,AMIT,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,92,Not Urgent,2,Tuesday,26,4,Yes,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-0773
S202605-0858,CUST102,2026-05-26,2026-05-26,SAPX,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,93,Not Urgent,2,Tuesday,26,4,Yes,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-0858
S202605-2098,CUST381,2026-05-29,2026-05-29,AMIT,"Every 11th ,12th, 21th,22th,28th,29th in every month",MONTHLY_DATE,,MISSING,Based on Schedule Payment,0,HIGH,CUTOFF_TODAY,94,Urgent,5,Friday,29,5,Yes,Yes,,UNKNOWN_RECEIVE_DAY,2026-05-29,MONTHLY_DATE; parsed next listed date from cutoff_type,0,0.0,-1.0,0.0,-1.0,S202605-2098
S202605-0707,CUST127,2026-05-29,2026-05-29,ROHMAN,Max 3 working days before end of month,MONTHLY_DATE,,"1,2,3,4,5",Everyday,0,HIGH,OVERDUE_CUTOFF,95,Urgent,5,Friday,29,5,Yes,No,0.0,VALID_RECEIVE_DAY,2026-05-26,MONTHLY_DATE; parsed working-days-before-end-of-month rule,0,-3.0,-1.0,-3.0,0.0,S202605-0707
S202605-0859,CUST142,2026-05-29,2026-06-02,AMIT,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,96,Not Urgent,5,Friday,29,5,Yes,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-0859
S202605-0764,CUST283,2026-05-29,2026-05-29,ARI,3 days in next month ,NEXT_MONTH_DATE,3.0,"1,2,3,4,5",Everyday,3,HIGH,CUTOFF_NEAR,97,Urgent,5,Friday,29,5,Yes,No,0.0,VALID_RECEIVE_DAY,2026-06-03,NEXT_MONTH_DATE; date in next month,3,3.0,3.0,3.0,0.0,S202605-0764
S202605-1788,CUST031,2026-05-29,2026-05-29,AMIT,"Submit dropbox maks date of 15 in the next month (M+1, H+15)",NEXT_MONTH_DATE,15.0,"1,2,3,4,5",Everyday,15,NORMAL,LONG_TIME_TO_CUTOFF,98,Not Urgent,5,Friday,29,5,Yes,No,0.0,VALID_RECEIVE_DAY,2026-06-15,NEXT_MONTH_DATE; date in next month,15,11.0,15.0,11.0,0.0,S202605-1788
S202605-0834,CUST176,2026-05-29,2026-05-29,SAPX,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,99,Not Urgent,5,Friday,29,5,Yes,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-0834
S202605-1768,CUST403,2026-05-29,2026-05-29,SAPX,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,100,Not Urgent,5,Friday,29,5,Yes,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-1768
S202605-0708,CUST328,2026-05-29,2026-06-03,AMIT,No cut off,NO_CUTOFF,0.0,3,Wednesday,999,HIGH,LIMITED_RECEIVE_DAY,101,Urgent,5,Friday,29,5,Yes,Yes,5.0,NEXT_RECEIVE_DAY_AVAILABLE_LATER,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,5.0,S202605-0708
S202605-1800,CUST276,2026-05-29,2026-06-02,AMIT,Max on 5th of the nextmonth,NEXT_MONTH_DATE,5.0,"1,2,3","Monday, Tuesday, Wednesday",5,NORMAL,LONG_TIME_TO_CUTOFF,102,Not Urgent,5,Friday,29,5,Yes,Yes,3.0,NEXT_RECEIVE_DAY_AVAILABLE_LATER,2026-06-05,NEXT_MONTH_DATE; date in next month,5,5.0,5.0,5.0,3.0,S202605-1800
