model,scope,invoice_no,customer_name_masking,cutoff_rule,receive_schedule,days_to_cutoff,next_receive_day_gap,missed_receive_schedule,month_end_flag,expert_label,prediction,expert_reason,triggered_rule,operational_explanation
RuleBased,train,S202605-0795,CUST172,END_MONTH,Everyday,9,0.0,No (On Schedule),No,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,test,S202605-1765,CUST382,MONTHLY_DATE,Everyday,5,0.0,No (On Schedule),No,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,train,S202605-1767,CUST498,END_MONTH,Everyday,9,0.0,No (On Schedule),No,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,train,S202605-1758,CUST082,END_MONTH,Everyday,9,0.0,No (On Schedule),No,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,train,S202605-1314,CUST024,END_MONTH,Everyday,9,0.0,No (On Schedule),No,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,train,S202605-2103,CUST235,END_MONTH,Everyday,9,0.0,No (On Schedule),No,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,train,93115446,CUST380,NEXT_MONTH_WORKDAY,Everyday,10,0.0,No (On Schedule),No,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,train,93115889,CUST179,MONTHLY_DATE,Everyday,8,0.0,No (On Schedule),No,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,train,S202605-2575,CUST498,END_MONTH,Everyday,8,0.0,No (On Schedule),No,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,train,S202605-2484,CUST374,END_MONTH,Everyday,8,0.0,No (On Schedule),No,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,train,93118518,CUST320,NEXT_MONTH_WORKDAY,Everyday,10,0.0,No (On Schedule),No,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,train,S202605-2382,CUST079,END_MONTH,Everyday,8,0.0,No (On Schedule),No,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,train,S202605-2386,CUST150,END_MONTH,Everyday,8,0.0,No (On Schedule),No,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,train,S202605-0395,CUST382,MONTHLY_DATE,Everyday,3,0.0,No (On Schedule),No,HIGH,MEDIUM,CUTOFF_NEAR,R8,"Rule-Based memicu R8, tetapi label pakar adalah HIGH. Perbedaan perlu ditelusuri melalui cutoff, jadwal penerimaan, dan alasan pakar."
RuleBased,train,S202605-0557,CUST013,END_MONTH,"Tuesday,Thursday & Friday",7,0.0,No (On Schedule),No,NORMAL,HIGH,LONG_TIME_TO_CUTOFF,R7,"Rule-Based memicu R7. Perbedaan terjadi karena aturan operasional membaca risiko cutoff/jadwal sebagai mendesak, sedangkan pakar menilai dokumen belum memerlukan prioritas tinggi."
RuleBased,train,S202605-0419,CUST101,NEXT_MONTH_DATE,"Monday, Wednesday, Friday",10,0.0,No (On Schedule),No,NORMAL,HIGH,LONG_TIME_TO_CUTOFF,R7,"Rule-Based memicu R7. Perbedaan terjadi karena aturan operasional membaca risiko cutoff/jadwal sebagai mendesak, sedangkan pakar menilai dokumen belum memerlukan prioritas tinggi."
RuleBased,train,S202605-0723,CUST498,END_MONTH,Everyday,6,0.0,No (On Schedule),No,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,train,S202605-0609,CUST018,MONTHLY_DATE,Everyday,6,0.0,No (On Schedule),No,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,test,S202605-0769,CUST179,MONTHLY_DATE,Everyday,5,0.0,No (On Schedule),No,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,train,S202605-0609,CUST018,MONTHLY_DATE,Everyday,5,0.0,No (On Schedule),No,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,train,S202605-0715,CUST196,MONTHLY_DATE,"Tuesday, Thursday",10,4.0,Yes (Missed Schedule),No,NORMAL,HIGH,LONG_TIME_TO_CUTOFF,R1,"Rule-Based memicu R1. Perbedaan terjadi karena aturan operasional membaca risiko cutoff/jadwal sebagai mendesak, sedangkan pakar menilai dokumen belum memerlukan prioritas tinggi."
RuleBased,train,S202605-0712,CUST079,END_MONTH,Everyday,6,0.0,No (On Schedule),No,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,train,S202605-0632,CUST069,NO_CUTOFF,"Monday, Tuesday & Thursday",999,0.0,No (On Schedule),Yes,NORMAL,HIGH,NO_CUTOFF,R7,"Rule-Based memicu R7. Perbedaan terjadi karena aturan operasional membaca risiko cutoff/jadwal sebagai mendesak, sedangkan pakar menilai dokumen belum memerlukan prioritas tinggi."
RuleBased,train,S202605-0721,CUST366,END_MONTH,Monday - Wednesday,6,3.0,Yes (Missed Schedule),No,NORMAL,HIGH,LONG_TIME_TO_CUTOFF,R1,"Rule-Based memicu R1. Perbedaan terjadi karena aturan operasional membaca risiko cutoff/jadwal sebagai mendesak, sedangkan pakar menilai dokumen belum memerlukan prioritas tinggi."
RuleBased,test,S202605-0710,CUST074,NEXT_MONTH_DATE,Tuesday & Thursday,9,4.0,Yes (Missed Schedule),No,NORMAL,HIGH,LONG_TIME_TO_CUTOFF,R1,"Rule-Based memicu R1. Perbedaan terjadi karena aturan operasional membaca risiko cutoff/jadwal sebagai mendesak, sedangkan pakar menilai dokumen belum memerlukan prioritas tinggi."
RuleBased,test,S202605-0628,CUST375,NEXT_MONTH_DATE,Everyday,10,0.0,No (On Schedule),Yes,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,test,S202605-0719,CUST284,NEXT_MONTH_DATE,Tuesday & Thursday,8,0.0,No (On Schedule),Yes,NORMAL,HIGH,LONG_TIME_TO_CUTOFF,R7,"Rule-Based memicu R7. Perbedaan terjadi karena aturan operasional membaca risiko cutoff/jadwal sebagai mendesak, sedangkan pakar menilai dokumen belum memerlukan prioritas tinggi."
DecisionTree,test,S202605-0719,CUST284,NEXT_MONTH_DATE,Tuesday & Thursday,8,0.0,No (On Schedule),Yes,NORMAL,HIGH,LONG_TIME_TO_CUTOFF,,Decision Tree memprediksi HIGH pada dokumen aktual NORMAL. Kemungkinan terdapat kombinasi fitur cutoff/jadwal/customer yang mirip dengan contoh HIGH pada data latih.
RuleBased,train,S202605-0830,CUST502,NEXT_MONTH_DATE,Everyday,6,0.0,No (On Schedule),Yes,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,train,S202605-0550,CUST342,NEXT_MONTH_FIRST_WEEK,Everyday,9,0.0,No (On Schedule),Yes,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,test,93106212,CUST128,NEXT_MONTH_DATE,Everyday,7,0.0,No (On Schedule),Yes,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,train,93106374,CUST128,NEXT_MONTH_DATE,Everyday,7,0.0,No (On Schedule),Yes,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,train,S202604-2405,CUST008,NEXT_MONTH_DATE,Everyday,9,0.0,No (On Schedule),Yes,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,test,S202605-0360,CUST008,NEXT_MONTH_DATE,Everyday,9,0.0,No (On Schedule),Yes,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,train,S202605-0708,CUST328,NO_CUTOFF,Wednesday,999,0.0,No (On Schedule),No,NORMAL,HIGH,LONG_TIME_TO_CUTOFF,R7,"Rule-Based memicu R7. Perbedaan terjadi karena aturan operasional membaca risiko cutoff/jadwal sebagai mendesak, sedangkan pakar menilai dokumen belum memerlukan prioritas tinggi."
RuleBased,train,S202605-1800,CUST276,NEXT_MONTH_DATE,"Monday, Tuesday, Wednesday",6,0.0,No (On Schedule),No,NORMAL,HIGH,LONG_TIME_TO_CUTOFF,R7,"Rule-Based memicu R7. Perbedaan terjadi karena aturan operasional membaca risiko cutoff/jadwal sebagai mendesak, sedangkan pakar menilai dokumen belum memerlukan prioritas tinggi."
